interval_start,equipment_ID,count_sum,A_028,A_029,A_024,A_045,A_001,A_058,A_064,A_030,A_101,A_002,A_107,A_056,A_015,A_032,A_026,A_003,A_008,A_078,A_070,A_004,A_005,A_009,A_016,A_010,A_027,A_020,A_017,A_048,A_022,A_011,A_012,A_013,A_042,A_023,A_034,A_036,A_079,A_077,A_090,A_021,A_049,A_006,#changes,%idle,%production,%downtime,%performance_loss,%scheduled_downtime,idle/idle,idle/production,idle/downtime,idle/performance_loss,idle/scheduled_downtime,production/idle,production/production,production/downtime,production/performance_loss,production/scheduled_downtime,downtime/idle,downtime/production,downtime/downtime,downtime/performance_loss,downtime/scheduled_downtime,performance_loss/idle,performance_loss/production,performance_loss/downtime,performance_loss/performance_loss,performance_loss/scheduled_downtime,scheduled_downtime/idle,scheduled_downtime/production,scheduled_downtime/downtime,scheduled_downtime/performance_loss,scheduled_downtime/scheduled_downtime,A_043,A_051,A_106,A_050,A_018,A_102,A_031,A_103,A_083,A_081,A_074,A_071,A_073,A_104,A_084,A_105,A_116,A_128,A_109,A_132,A_062,A_131,A_035,A_040,A_039,A_055,A_127,A_007,A_108,A_037,A_119,A_115,A_125,A_124,A_130,A_052,A_129,A_019,A_126,A_110,A_123,A_114,A_120,A_121,A_098,A_095,A_087,A_111,A_117,A_044,A_122,A_085,A_057,A_066,A_112,A_118,A_113,A_093,A_041,A_076,A_088,A_097,A_065,A_091,A_067,A_068,A_033,A_082,A_075,A_099,A_086,A_100,A_096,A_094,A_089,A_092,A_038,A_080,A_069,A_072,A_047,A_059,A_046,A_063,A_053,A_054,A_060,A_061
2020-01-01 14:00:00,s_1,4,0.0,0,0,,0.0,,0.0,0.0,,0,,0,,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,18.0,0.0215234716437863,0.8617294805217064,0.0522607846161756,0.0200915214149827,0.0443947418033489,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-01-01 15:00:00,s_1,2,0.0,0,0,,0.0,,0.0,0.0,,0,,0,,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,0.0,0.8708971054401076,0.1177035637667702,0.0113993307931222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-01-01 17:00:00,s_1,1,0.0,0,0,,0.0,,0.0,0.0,,0,,0,,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.9784826604693716,0.0215173395306283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-01-01 18:00:00,s_1,4,0.0,0,0,,0.0,,0.0,0.0,,0,,0,,0.0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,8.0,0.0,0.4710660359164596,0.468384213093739,0.0,0.0605497509898013,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-01-01 19:00:00,s_1,1,0.0,0,0,,0.0,,0.0,0.0,,0,,0,,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,0.0,0.9870236906442617,0.0077784855893392,0.0051978237663992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-01-01 22:00:00,s_1,3,0.0,0,0,,0.0,,0.0,0.0,,0,,0,,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,0.0,0.6968011443751273,0.3031988556248727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-01-01 23:00:00,s_1,11,0.0,0,0,,0.0,,0.0,0.0,,0,,0,,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,20.0,0.0,0.3725728199079096,0.6274271800920903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-01-02 00:00:00,s_1,9,0.0,0,0,,0.0,,0.0,0.0,,0,,0,,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,21.0,0.0,0.7114996226415095,0.2208450314465408,0.0027572327044025,0.0648981132075471,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-01-02 02:00:00,s_1,1,0.0,0,0,,0.0,,1.0,0.0,,0,,0,,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,0.0,0.9920722744068354,0.0059618045368096,0.0019659210563549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-01-02 04:00:00,s_1,3,0.0,0,0,,0.0,,0.0,0.0,,0,,0,,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7.0,0.0,0.8838178785915898,0.0380826486976044,0.0,0.0780994727108057,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
